,Unnamed: 0,word,categ,prime,corrAns,correct,rt,file,word_prime_merge
4256,4256,KUÑAKARAI,1,zanahoria,left,1,0.9503744002431632,016,KUÑAKARAI_zanahoria
4257,4257,OMOÑE'Ẽ,1,araña,left,1,0.6170319002121687,016,OMOÑE'Ẽ_araña
4258,4258,ENERGÍA,3,ojo,left,1,0.7670760997571051,016,ENERGÍA_ojo
4259,4259,CAMPO,3,vidrio,left,1,0.5337077002041042,016,CAMPO_vidrio
4260,4260,DAMA,3,lago,left,1,0.4836920001544058,016,DAMA_lago
4261,4261,PE,1,mano,left,1,0.916759999934584,016,PE_mano
4262,4262,MBUJAPE,1,reja,left,1,1.050181600265205,016,MBUJAPE_reja
4263,4263,KUÑA,1,farol,left,1,0.7337241000495851,016,KUÑA_farol
4264,4264,PARRILLA,3,zócalo,left,1,0.6503721000626683,016,PARRILLA_zócalo
4265,4265,ATÚN,3,pelota,left,1,0.7004082002677023,016,ATÚN_pelota
4266,4266,PÝRA,2,cocido,right,1,1.350397099740803,016,PÝRA_cocido
4267,4267,SO'O,2,bife,right,1,0.7667658999562263,016,SO'O_bife
4268,4268,KAGUY,1,vino,right,1,0.5171034997329116,016,KAGUY_vino
4269,4269,RYGUASU,2,carne,right,1,0.8337222002446651,016,RYGUASU_carne
4270,4270,LAGO,3,laguna,right,1,0.4837178001180291,016,LAGO_laguna
4271,4271,JUKYSY,2,caldo,right,1,0.6167608997784555,016,JUKYSY_caldo
4272,4272,SELVA,3,bosque,right,1,0.5004014000296593,016,SELVA_bosque
4273,4273,MANZANA,3,rojo,right,0,0.7837287997826934,016,MANZANA_rojo
4274,4274,AREKO,2,poseer,right,0,0.9003976997919381,016,AREKO_poseer
4275,4275,OVEJA,3,lana,right,1,0.5004028002731502,016,OVEJA_lana
4276,4276,PARQUE,3,plaza,right,1,0.6171559002250433,016,PARQUE_plaza
4277,4277,EIRATÃ,2,dulce,right,0,0.6671054996550083,016,EIRATÃ_dulce
4278,4278,ÁGUILA,3,halcón,right,1,0.8003182001411915,016,ÁGUILA_halcón
4279,4279,REMERA,3,camiseta,right,1,0.550349900033325,016,REMERA_camiseta
4280,4280,HA'E,1,ella,right,0,0.9171134000644088,016,HA'E_ella
4281,4281,TAPITI,2,saltarín,right,0,0.8170847999863327,016,TAPITI_saltarín
4282,4282,KA'I,2,chimpancé,right,0,0.5504117999225855,016,KA'I_chimpancé
4283,4283,MBARAKAJA,2,felino,right,1,1.667069300077856,016,MBARAKAJA_felino
4284,4284,ANGUJA,2,rata,right,1,0.7170668002218008,016,ANGUJA_rata
4285,4285,NDE,1,tú,right,1,0.3336717998608947,016,NDE_tú
4286,4286,AJOGUA,2,vender,right,0,0.6837221002206206,016,AJOGUA_vender
4287,4287,AMBOJY,2,comida,right,1,0.6670292001217604,016,AMBOJY_comida
4288,4288,CHE,1,mi,right,1,0.3501422996632755,016,CHE_mi
4289,4289,HIJO,3,bebé,right,1,0.6004359000362456,016,HIJO_bebé
4290,4290,MYMBA,2,mascota,right,0,1.150388200301677,016,MYMBA_mascota
4291,4291,CAMELLO,3,joroba,right,1,0.5670443996787071,016,CAMELLO_joroba
