subject,item,condition_code,condition_label,RT,channel,window_start,window_end,mean_amplitude,relatedness,language
001,papa_MBERU,2,reciente_no,367,Cz,0.3,0.5,0.9126876656843635,0,rec
001,papa_MBERU,2,reciente_no,367,Cz,0.5,0.8,-0.9715296919179538,0,rec
001,papa_MBERU,2,reciente_no,367,Pz,0.3,0.5,-0.47053723137539166,0,rec
001,papa_MBERU,2,reciente_no,367,Pz,0.5,0.8,0.17718830920363726,0,rec
001,cal_KUÑATAI,1,remoto_no,324,Cz,0.3,0.5,-4.019373255065428,0,rem
001,cal_KUÑATAI,1,remoto_no,324,Cz,0.5,0.8,-3.103843444377667,0,rem
001,cal_KUÑATAI,1,remoto_no,324,Pz,0.3,0.5,0.9000234916233099,0,rem
001,cal_KUÑATAI,1,remoto_no,324,Pz,0.5,0.8,0.8355872532492313,0,rem
001,edificio_PULPO,3,español_no,332,Cz,0.3,0.5,3.6925800402062197,0,esp
001,edificio_PULPO,3,español_no,332,Cz,0.5,0.8,4.221767800167624,0,esp
001,edificio_PULPO,3,español_no,332,Pz,0.3,0.5,1.9428357831560643,0,esp
001,edificio_PULPO,3,español_no,332,Pz,0.5,0.8,2.447927745760452,0,esp
001,alga_TIGRE,3,español_no,520,Cz,0.3,0.5,3.3551490297541013,0,esp
001,alga_TIGRE,3,español_no,520,Cz,0.5,0.8,3.1482520097987305,0,esp
001,alga_TIGRE,3,español_no,520,Pz,0.3,0.5,-3.4885184443913966,0,esp
001,alga_TIGRE,3,español_no,520,Pz,0.5,0.8,-1.496924432514891,0,esp
001,chancho_KURE,5,reciente_si,328,Cz,0.3,0.5,2.915851907052386,1,rec
001,chancho_KURE,5,reciente_si,328,Cz,0.5,0.8,1.4004221906836487,1,rec
001,chancho_KURE,5,reciente_si,328,Pz,0.3,0.5,-0.06059848947020695,1,rec
001,chancho_KURE,5,reciente_si,328,Pz,0.5,0.8,-3.36762709403599,1,rec
001,corre_OGUATA,5,reciente_si,422,Cz,0.3,0.5,-0.7535845230405147,1,rec
001,corre_OGUATA,5,reciente_si,422,Cz,0.5,0.8,0.011169571384244733,1,rec
001,corre_OGUATA,5,reciente_si,422,Pz,0.3,0.5,3.095863201297246,1,rec
001,corre_OGUATA,5,reciente_si,422,Pz,0.5,0.8,0.9605142683627812,1,rec
001,serpiente_TEMBIPORU,2,reciente_no,320,Cz,0.3,0.5,-2.425361608414768,0,rec
001,serpiente_TEMBIPORU,2,reciente_no,320,Cz,0.5,0.8,-3.061026475793844,0,rec
001,serpiente_TEMBIPORU,2,reciente_no,320,Pz,0.3,0.5,1.6360467537664445,0,rec
001,serpiente_TEMBIPORU,2,reciente_no,320,Pz,0.5,0.8,1.6090831980410853,0,rec
001,escuela_PETEĨ,1,remoto_no,358,Cz,0.3,0.5,1.5863166050269053,0,rem
001,escuela_PETEĨ,1,remoto_no,358,Cz,0.5,0.8,4.259651327015538,0,rem
001,escuela_PETEĨ,1,remoto_no,358,Pz,0.3,0.5,-0.01872801522795964,0,rem
001,escuela_PETEĨ,1,remoto_no,358,Pz,0.5,0.8,-1.1499323103848378,0,rem
001,señor_KUIMBA'E,4,remoto_si,320,Cz,0.3,0.5,4.208198352860142,1,rem
001,señor_KUIMBA'E,4,remoto_si,320,Cz,0.5,0.8,-1.2461295555522929,1,rem
001,señor_KUIMBA'E,4,remoto_si,320,Pz,0.3,0.5,-0.17150075017259672,1,rem
001,señor_KUIMBA'E,4,remoto_si,320,Pz,0.5,0.8,-4.7970068522574385,1,rem
001,pochoclo_AVATI,5,reciente_si,362,Cz,0.3,0.5,0.49161023309884144,1,rec
001,pochoclo_AVATI,5,reciente_si,362,Cz,0.5,0.8,-0.6052252138815895,1,rec
001,pochoclo_AVATI,5,reciente_si,362,Pz,0.3,0.5,-0.14127130279890635,1,rec
001,pochoclo_AVATI,5,reciente_si,362,Pz,0.5,0.8,-2.087473232898604,1,rec
001,salmón_ÓGA,1,remoto_no,332,Cz,0.3,0.5,2.0447461742979405,0,rem
001,salmón_ÓGA,1,remoto_no,332,Cz,0.5,0.8,2.452808105015396,0,rem
